"NRCS Rangeland Site"|"Ecological Site Description Database"|"R002XN723WA"|"SALT WATER BLUFF"|"25473495"|"10990797"
"NRCS Rangeland Site"|"Ecological Site Description Database"|"R002XN713WA"|"TIDAL MEADOW"|"25473496"|"10990808"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473498"|"10990799"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473499"|"10990828"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473502"|"10990807"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473501"|"10990843"
"NRCS Rangeland Site"|"Ecological Site Description Database"|"R002XA003WA"|"Puget Lowlands Bogs and Fens"|"25473505"|"10990844"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473508"|"10990818"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473509"|"10990812"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473506"|"10990801"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473510"|"10990786"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473511"|"10990803"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473514"|"10990813"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473513"|"10990821"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473512"|"10990842"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473520"|"10990841"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473517"|"10990831"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473516"|"10990811"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473519"|"10990791"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473521"|"10990806"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473524"|"10990800"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473525"|"10990824"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473522"|"10990817"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473529"|"10990814"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473527"|"10990826"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473530"|"10990835"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473526"|"10990804"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473533"|"10990794"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473531"|"10990798"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473535"|"10990836"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473532"|"10990839"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473540"|"10990837"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473537"|"10990845"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473539"|"10990830"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473536"|"10990809"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473543"|"10990790"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473541"|"10990802"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473545"|"10990832"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473542"|"10990840"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473547"|"10990825"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473550"|"10990822"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473546"|"10990833"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473548"|"10990792"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473553"|"10990795"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473552"|"10990816"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473551"|"10990838"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473555"|"10990815"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473556"|"10990823"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473557"|"10990787"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA007WA"|"Puget Lowlands Wet Forest"|"25473559"|"10990793"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473563"|"10990805"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473562"|"10990796"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473561"|"10990834"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473565"|"10990810"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473570"|"10990829"
"NRCS Forestland Site"|"Ecological Site Description Database"|"F002XA004WA"|"Puget Lowlands Forest"|"25473574"|"10990827"
