"Loam"||"153962728"|"156593168"
"Sandy loam"||"153961791"|"156592584"
"Loam"||"153962656"|"156592924"
"Loamy sand"||"153961955"|"156592749"
"Clay loam"||"153962643"|"156592932"
"Silty clay loam"||"153962414"|"156592545"
"Loam"||"153962612"|"156593254"
"Silt loam"||"153962581"|"156593263"
"Silt loam"||"153962224"|"156592765"
"Sandy loam"||"153961876"|"156592586"
"Loam"||"153962424"|"156592685"
"Silt loam"||"153962028"|"156592964"
|"Bedrock"|"153962667"|"156593041"
"Loam"||"153962316"|"156592371"
"Clay loam"||"153962393"|"156592673"
"Loam"||"153961843"|"156592834"
"Loam"||"153961992"|"156592955"
"Coarse sandy loam"||"153962143"|"156592982"
"Coarse sandy loam"||"153962372"|"156592798"
"Loam"||"153962294"|"156592510"
"Loam"||"153962290"|"156592377"
"Coarse sandy loam"||"153961924"|"156592742"
"Loam"||"153962582"|"156592921"
"Clay loam"||"153962050"|"156592975"
"Sandy loam"||"153962509"|"156592551"
"Loam"||"153962187"|"156593233"
"Silt loam"||"153962488"|"156593013"
"Loamy sand"||"153962466"|"156592809"
"Coarse sand"||"153961950"|"156592465"
"Coarse sandy loam"||"153962625"|"156593031"
"Sandy loam"||"153961810"|"156592570"
"Loamy sand"||"153962327"|"156592516"
"Fine sandy loam"||"153962253"|"156592763"
"Loam"||"153962497"|"156592560"
"Silt loam"||"153961852"|"156592477"
"Sandy loam"||"153961976"|"156593188"
"Loam"||"153962695"|"156593288"
"Sandy loam"||"153962614"|"156593143"
|"Slightly decomposed plant material"|"153962706"|"156592936"
"Coarse sand"||"153962268"|"156592370"
"Sandy loam"||"153962601"|"156592908"
"Silt loam"||"153961939"|"156593180"
"Loam"||"153962487"|"156593012"
"Coarse sandy loam"||"153961935"|"156592469"
"Silty clay loam"||"153962456"|"156592822"
"Coarse sand"||"153962242"|"156592491"
"Silt loam"||"153962117"|"156592993"
"Coarse sandy loam"||"153961987"|"156593069"
|"Slightly decomposed plant material"|"153962349"|"156592394"
"Sandy loam"||"153962205"|"156593228"
"Sandy loam"||"153962061"|"156593086"
|"Slightly decomposed plant material"|"153961802"|"156592712"
"Clay loam"||"153962176"|"156593114"
"Coarse sand"||"153962018"|"156592952"
"Sandy loam"||"153962435"|"156592407"
"Coarse sand"||"153961865"|"156592728"
"Clay loam"||"153962353"|"156592523"
"Loam"||"153962717"|"156593053"
"Loam"||"153962383"|"156592799"
"Sandy loam"||"153961749"|"156592717"
|"Mucky peat"|"153961799"|"156592747"
"Silty clay loam"||"153961854"|"156592826"
"Fine sandy loam"||"153961981"|"156593187"
"Sandy loam"||"153961778"|"156592849"
"Loam"||"153962560"|"156592905"
"Sandy loam"||"153962498"|"156592561"
"Silt loam"||"153962216"|"156592769"
"Silty clay loam"||"153961915"|"156592865"
"Silty clay loam"||"153962279"|"156592784"
"Clay loam"||"153962039"|"156593088"
"Clay loam"||"153961830"|"156592426"
"Sandy loam"||"153962654"|"156592923"
"Loamy sand"||"153962198"|"156593112"
"Sandy loam"||"153962645"|"156593275"
"Loam"||"153962636"|"156593162"
"Loam"||"153962002"|"156593306"
"Loamy sand"||"153961758"|"156592440"
"Silty clay loam"||"153961940"|"156592951"
"Sandy loam"||"153962730"|"156593283"
"Sandy loam"||"153961841"|"156592837"
"Sandy loam"||"153962342"|"156592519"
"Coarse sandy loam"||"153962323"|"156592373"
"Loam"||"153962172"|"156593005"
"Silt loam"||"153962209"|"156592501"
"Fine sandy loam"||"153962331"|"156592657"
"Silty clay"||"153962360"|"156592390"
"Loam"||"153962647"|"156593277"
"Silt loam"||"153962305"|"156592379"
"Loam"||"153961928"|"156592868"
"Coarse sandy loam"||"153962065"|"156593313"
"Sandy loam"||"153961904"|"156592731"
"Loam"||"153961819"|"156592557"
"Fine sandy loam"||"153962623"|"156593141"
"Clay loam"||"153961965"|"156592872"
"Silt loam"||"153962561"|"156593135"
"Silt loam"||"153962013"|"156593193"
"Coarse sandy loam"||"153962382"|"156592670"
"Silt loam"||"153962220"|"156592363"
"Silt loam"||"153961944"|"156593068"
"Silt loam"||"153961896"|"156592461"
"Sandy loam"||"153962571"|"156593133"
"Loamy sand"||"153962024"|"156592480"
"Coarse sandy loam"||"153961771"|"156592714"
"Coarse sandy loam"||"153962519"|"156593009"
"Sandy loam"||"153962257"|"156592357"
"Loam"||"153962231"|"156592499"
"Loam"||"153962634"|"156593049"
"Clay loam"||"153962425"|"156592686"
"Sandy loam"||"153962719"|"156593055"
"Clay loam"||"153962476"|"156592886"
"Silty clay"||"153961966"|"156592875"
"Loam"||"153962404"|"156592535"
"Silt loam"||"153961917"|"156592867"
"Sandy loam"||"153961760"|"156592576"
