|"Nose Slope"|||"40728645"|"16072484"
|"Side Slope"|||"40728645"|"16072486"
|"Crest"|||"40728645"|"16072485"
||"Tread"||"40728551"|"16072394"
|"Nose Slope"|||"40728603"|"16072438"
|"Side Slope"|||"40728603"|"16072439"
|"Crest"|||"40728603"|"16072440"
||"Tread"||"40728601"|"16072437"
|"Nose Slope"|||"40728549"|"16072391"
|"Side Slope"|||"40728549"|"16072392"
|"Crest"|||"40728549"|"16072393"
|"Nose Slope"|||"40728623"|"16072459"
|"Side Slope"|||"40728623"|"16072460"
|"Crest"|||"40728623"|"16072461"
||"Tread"|"Dip"|"40728643"|"16072483"
||"Tread"||"40728625"|"16072462"
|"Side Slope"|||"40728529"|"16072358"
||"Tread"||"40728613"|"16072451"
|"Nose Slope"|||"40728539"|"16072382"
|"Side Slope"|||"40728539"|"16072383"
|"Crest"|||"40728539"|"16072384"
|"Nose Slope"|||"40728581"|"16072419"
|"Side Slope"|||"40728581"|"16072420"
|"Crest"|||"40728581"|"16072421"
||"Tread"||"40728591"|"16072429"
|"Side Slope"|||"40728571"|"16072411"
|"Crest"|||"40728571"|"16072410"
|"Nose Slope"|||"40728609"|"16072445"
|"Side Slope"|||"40728609"|"16072446"
|"Crest"|||"40728609"|"16072447"
||"Tread"||"40728561"|"16072402"
|"Nose Slope"|||"40728635"|"16072473"
|"Side Slope"|||"40728635"|"16072474"
|"Crest"|||"40728635"|"16072475"
||"Tread"||"40728543"|"16072387"
|"Nose Slope"|||"40728565"|"16072405"
|"Side Slope"|||"40728565"|"16072406"
|"Crest"|||"40728565"|"16072407"
||"Tread"||"40728521"|"16072362"
|"Side Slope"|||"40728587"|"16072425"
|"Crest"|||"40728587"|"16072424"
|"Side Slope"|||"40728547"|"16072390"
|"Crest"|||"40728547"|"16072389"
||"Tread"||"40728621"|"16072458"
|"Nose Slope"|||"40728573"|"16072412"
|"Side Slope"|||"40728573"|"16072413"
|"Crest"|||"40728573"|"16072414"
|"Side Slope"|||"40728579"|"16072418"
|"Crest"|||"40728579"|"16072417"
|"Nose Slope"|||"40728531"|"16072370"
|"Side Slope"|||"40728531"|"16072371"
|"Crest"|||"40728531"|"16072372"
||"Tread"||"40728631"|"16072469"
|"Nose Slope"|||"40728557"|"16072398"
|"Side Slope"|||"40728557"|"16072399"
|"Crest"|||"40728557"|"16072400"
|"Nose Slope"|||"40728605"|"16072441"
|"Side Slope"|||"40728605"|"16072442"
|"Crest"|||"40728605"|"16072443"
|"Side Slope"|||"40728595"|"16072432"
|"Crest"|||"40728595"|"16072431"
||"Tread"||"40728569"|"16072409"
||"Tread"||"40728583"|"16072422"
|"Nose Slope"|||"40728517"|"16072367"
|"Side Slope"|||"40728517"|"16072368"
|"Crest"|||"40728517"|"16072369"
|||"Dip"|"40728523"|"16072364"
|"Nose Slope"|||"40728533"|"16072373"
|"Side Slope"|||"40728533"|"16072374"
|"Crest"|||"40728533"|"16072375"
||"Tread"||"40728619"|"16072457"
|"Nose Slope"|||"40728647"|"16072487"
|"Side Slope"|||"40728647"|"16072488"
|"Crest"|||"40728647"|"16072489"
|"Nose Slope"|||"40728627"|"16072463"
|"Side Slope"|||"40728627"|"16072465"
|"Crest"|||"40728627"|"16072464"
||"Tread"||"40728553"|"16072395"
||"Tread"||"40728599"|"16072436"
||"Tread"||"40728577"|"16072416"
||"Tread"||"40728575"|"16072415"
|"Side Slope"|||"40728555"|"16072397"
|"Crest"|||"40728555"|"16072396"
|"Nose Slope"|||"40728597"|"16072433"
|"Side Slope"|||"40728597"|"16072434"
|"Crest"|||"40728597"|"16072435"
|"Nose Slope"|||"40728629"|"16072466"
|"Side Slope"|||"40728629"|"16072467"
|"Crest"|||"40728629"|"16072468"
|"Nose Slope"|||"40728639"|"16072477"
|"Side Slope"|||"40728639"|"16072479"
|"Crest"|||"40728639"|"16072478"
|"Nose Slope"|||"40728525"|"16072360"
|"Side Slope"|||"40728525"|"16072359"
|"Crest"|||"40728525"|"16072361"
|"Nose Slope"|||"40728617"|"16072454"
|"Side Slope"|||"40728617"|"16072455"
|"Crest"|||"40728617"|"16072456"
||"Tread"||"40728545"|"16072388"
|||"Dip"|"40728649"|"16072490"
|"Nose Slope"|||"40728535"|"16072376"
|"Side Slope"|||"40728535"|"16072377"
|"Crest"|||"40728535"|"16072378"
